evaluator,p_name,method,params,predicted_delta_u_p,predicted_min_axis_delta,observed_delta_u_p
armorm,dominant_verbosity,MaxMin,c=0.25,0.07963082568235874,-0.05741906848559818,-0.002345275878906261
armorm,dominant_verbosity,MaxMin,c=0.5,0.05262609138097219,-0.03794687696931441,0.005284118652343739
armorm,dominant_verbosity,MaxMin,c=0.75,0.026239820625961408,-0.0189206383917438,0.001739501953125
armorm,dominant_verbosity,MaxMin,c=0.9,0.010486263093601084,-0.007561286142269316,-0.0003997802734374972
armorm,dominant_verbosity,MaxMin,c=0.95,0.0052418631385349485,-0.0037797284652590136,-0.0002120971679687722
armorm,dominant_verbosity,Fair,"alpha=0.0,eps=0.01",-0.003586107239407149,-0.01000000000000001,-0.0015029907226562778
armorm,dominant_verbosity,Fair,"alpha=0.0,eps=0.02",-0.007172214478814258,-0.019999999999999993,-0.0019500732421875444
armorm,dominant_verbosity,Fair,"alpha=0.0,eps=0.05",-0.017930536197035708,-0.05000000000000002,-0.009414672851562486
armorm,dominant_verbosity,Fair,"alpha=0.0,eps=0.1",-0.035861072394071415,-0.10000000000000002,-0.0010192871093750305
armorm,dominant_verbosity,Fair,"alpha=0.5,eps=0.01",-0.0003254244544286716,-0.0008913129357856028,-0.0008300781249999944
armorm,dominant_verbosity,Fair,"alpha=0.5,eps=0.02",-0.0006508490341370702,-0.001782626216075404,-0.0012756347656249917
armorm,dominant_verbosity,Fair,"alpha=0.5,eps=0.05",-0.0016271225104663636,-0.004456565340760565,-0.0026550292968750278
armorm,dominant_verbosity,Fair,"alpha=0.5,eps=0.1",-0.0032542451654418857,-0.008913131072522652,-0.0008941650390624778
armorm,dominant_verbosity,Fair,"alpha=1.0,eps=0.01",-0.00016529290349077968,-0.00045265638784848267,-0.0007659912109375111
armorm,dominant_verbosity,Fair,"alpha=1.0,eps=0.02",-0.0003305858055158003,-0.0009053127714287569,-0.0008300781249999944
armorm,dominant_verbosity,Fair,"alpha=1.0,eps=0.05",-0.0008264645868436985,-0.002263282126969961,0.00010375976562497502
armorm,dominant_verbosity,Fair,"alpha=1.0,eps=0.1",-0.0016529291314104947,-0.004526564139737796,-0.0025878906250000056
armorm,dominant_verbosity,Fair,"alpha=2.0,eps=0.01",-8.328883323382348e-05,-0.00022807029310760755,-0.0011352539062499806
armorm,dominant_verbosity,Fair,"alpha=2.0,eps=0.02",-0.00016657765048456587,-0.0004561405427111068,-0.0008300781249999944
armorm,dominant_verbosity,Fair,"alpha=2.0,eps=0.05",-0.0004164441652661877,-0.0011403514628915393,-0.0008300781249999944
armorm,dominant_verbosity,Fair,"alpha=2.0,eps=0.1",-0.0008328877244928464,-0.0022807012865066725,0.00017700195312499167
