evaluator,evaluator_role,p_name,method,params,U_p_baseline,U_p_lambda,delta_u_p,ci_low,ci_high,excludes_zero,p_value,selection_regret,baseline_regret,p_holm_within_rm,p_holm_global,holm_within_rm_improves,holm_global_improves,holm_global_harms
armorm,primary post-hoc evaluator,dominant_helpfulness,Fair,"alpha=1.0,eps=0.1",0.5602508544921875,0.5579605102539062,-0.00229034423828125,-0.007124366760253906,0.0025482177734375,False,0.3476,0.010539245605468817,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,Fair,"alpha=2.0,eps=0.01",0.5602508544921875,0.560614013671875,0.0003631591796875,0.0,0.0010894775390625,False,0.7184,0.007885742187500044,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,Fair,"alpha=2.0,eps=0.02",0.5602508544921875,0.5613250732421875,0.00107421875,0.0,0.0028594970703125,False,0.2612,0.007174682617187567,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,Fair,"alpha=2.0,eps=0.05",0.5602508544921875,0.5601654052734375,-8.544921875e-05,-0.0023712158203125,0.0021331787109375,False,0.892,0.008334350585937567,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,Fair,"alpha=2.0,eps=0.1",0.5602508544921875,0.559368896484375,-0.0008819580078125,-0.003964309692382813,0.0020845031738281226,False,0.5742,0.009130859375000022,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,Avg,rho=0.0,0.5642425537109375,0.55601806640625,-0.0082244873046875,-0.02178508758544922,0.005288772583007812,False,0.237,0.015951538085937522,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,Avg,rho=0.1,0.5642425537109375,0.55601806640625,-0.0082244873046875,-0.02178508758544922,0.005288772583007812,False,0.237,0.015951538085937522,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,Avg,rho=0.2,0.5642425537109375,0.55601806640625,-0.0082244873046875,-0.02178508758544922,0.005288772583007812,False,0.237,0.015951538085937522,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,Avg,rho=0.5,0.5642425537109375,0.5608764648437501,-0.0033660888671875,-0.01564838409423828,0.008760108947753906,False,0.5812,0.011093139648437389,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,MaxMin,c=0.0,0.5642425537109375,0.5629241943359374,-0.001318359375,-0.012922821044921875,0.010415763854980468,False,0.813,0.009045410156250044,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,MaxMin,c=0.1,0.5642425537109375,0.5595886230468751,-0.0046539306640625,-0.016209449768066406,0.00707855224609375,False,0.4346,0.012380981445312411,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,MaxMin,c=0.25,0.5642425537109375,0.557354736328125,-0.0068878173828125,-0.017071647644042967,0.0032869720458984343,False,0.1928,0.014614868164062433,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,MaxMin,c=0.5,0.5642425537109375,0.5652557373046875,0.00101318359375,-0.008749847412109374,0.010401992797851561,False,0.8284,0.0067138671875,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,MaxMin,c=0.75,0.5642425537109375,0.561773681640625,-0.0024688720703125,-0.01156158447265625,0.00674007415771484,False,0.6188,0.010195922851562456,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,MaxMin,c=0.9,0.5642425537109375,0.5652450561523437,0.00100250244140625,-0.006460876464843749,0.008565330505371085,False,0.7912,0.006724548339843817,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,MaxMin,c=0.95,0.5642425537109375,0.5605712890625,-0.0036712646484375,-0.010254287719726562,0.0028504180908203117,False,0.2656,0.0113983154296875,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,Fair,"alpha=0.0,eps=0.01",0.5642425537109375,0.5682785034179687,0.00403594970703125,-0.0052690887451171875,0.013592948913574212,False,0.382,0.003691101074218772,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,Fair,"alpha=0.0,eps=0.02",0.5642425537109375,0.5686355590820312,0.00439300537109375,-0.006125183105468749,0.01505485534667968,False,0.4054,0.00333404541015625,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,Fair,"alpha=0.0,eps=0.05",0.5642425537109375,0.5613189697265625,-0.002923583984375,-0.014703483581542968,0.008638229370117184,False,0.6328,0.010650634765625,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,Fair,"alpha=0.0,eps=0.1",0.5642425537109375,0.5668380737304687,0.00259552001953125,-0.011490211486816405,0.016310272216796873,False,0.7116,0.005131530761718794,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,Fair,"alpha=0.5,eps=0.01",0.5642425537109375,0.5653350830078124,0.001092529296875,-0.0006683349609375,0.0039031982421875,False,0.4674,0.006634521484375044,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,Fair,"alpha=0.5,eps=0.02",0.5642425537109375,0.5644500732421875,0.00020751953125,-0.0023163604736328126,0.0033203125,False,0.9584,0.007519531249999933,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,Fair,"alpha=0.5,eps=0.05",0.5642425537109375,0.562994384765625,-0.0012481689453125,-0.0058135986328125,0.0032196807861328116,False,0.5798,0.008975219726562456,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,Fair,"alpha=0.5,eps=0.1",0.5642425537109375,0.562652587890625,-0.0015899658203125,-0.008291778564453125,0.005145339965820311,False,0.6368,0.009317016601562478,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,Fair,"alpha=1.0,eps=0.01",0.5642425537109375,0.5657257080078125,0.001483154296875,0.0,0.004119873046875,False,0.2844,0.006243896484374956,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,Fair,"alpha=1.0,eps=0.02",0.5642425537109375,0.5653350830078124,0.001092529296875,-0.0006683349609375,0.0039031982421875,False,0.4674,0.006634521484375044,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,Fair,"alpha=1.0,eps=0.05",0.5642425537109375,0.5635040283203124,-0.000738525390625,-0.0035492706298828123,0.0025910186767578117,False,0.5872,0.008465576171875044,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,Fair,"alpha=1.0,eps=0.1",0.5642425537109375,0.562994384765625,-0.0012481689453125,-0.0058135986328125,0.0032196807861328116,False,0.5798,0.008975219726562456,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,Fair,"alpha=2.0,eps=0.01",0.5642425537109375,0.5653961181640624,0.001153564453125,0.0,0.003460693359375,False,0.7494,0.006573486328125044,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,Fair,"alpha=2.0,eps=0.02",0.5642425537109375,0.5657257080078125,0.001483154296875,0.0,0.004119873046875,False,0.2844,0.006243896484374956,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,Fair,"alpha=2.0,eps=0.05",0.5642425537109375,0.5647735595703125,0.000531005859375,-0.0018035888671875,0.0034882354736328115,False,0.782,0.007196044921874978,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_correctness,Fair,"alpha=2.0,eps=0.1",0.5642425537109375,0.5635040283203124,-0.000738525390625,-0.0035492706298828123,0.0025910186767578117,False,0.5872,0.008465576171875044,0.007727050781250022,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_coherence,Avg,rho=0.0,0.5985054016113281,0.5930572509765625,-0.005448150634765625,-0.017221508026123045,0.006160087585449217,False,0.3568,0.01782226562499989,0.01237411499023422,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_coherence,Avg,rho=0.1,0.5985054016113281,0.5930572509765625,-0.005448150634765625,-0.017221508026123045,0.006160087585449217,False,0.3568,0.01782226562499989,0.01237411499023422,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_coherence,Avg,rho=0.2,0.5985054016113281,0.5930572509765625,-0.005448150634765625,-0.017221508026123045,0.006160087585449217,False,0.3568,0.01782226562499989,0.01237411499023422,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_coherence,Avg,rho=0.5,0.5985054016113281,0.5998077392578125,0.001302337646484375,-0.009767284393310547,0.012214698791503905,False,0.8224,0.011071777343749867,0.01237411499023422,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_coherence,MaxMin,c=0.0,0.5985054016113281,0.5998367309570313,0.001331329345703125,-0.00950166702270508,0.012175025939941405,False,0.814,0.011042785644531095,0.01237411499023422,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_coherence,MaxMin,c=0.1,0.5985054016113281,0.59720458984375,-0.001300811767578125,-0.012813720703125,0.009886188507080078,False,0.815,0.013674926757812345,0.01237411499023422,1.0,1.0,False,False,False
