evaluator,evaluator_role,p_name,p,method,params,status,lambda,dist_l2,dist_R,proxy_delta_p,proxy_min_delta,U_p(p),U_p(lambda),Delta U_p,U_p(p)_0_4,U_p(lambda)_0_4,Delta U_p_percent,note
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",MaxMin,c=1.0,OK,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0,0.0,0.0,0.0,0.5641748046875,0.5641748046875,0.0,2.3208740234375003,2.3208740234375003,0.0,same merge point as baseline
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=0.0,eps=0.01",OK,"[0.242976, 0.187971, 0.188479, 0.190234, 0.19034]",0.048094210612373116,0.04695898629350583,0.0002622284169485681,-0.01000000000000001,0.5641748046875,0.5664013671875,0.0022265624999999734,2.3208740234375003,2.3320068359375,0.47968189516424414,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=0.0,eps=0.02",OK,"[0.285952, 0.175942, 0.176958, 0.180467, 0.18068]",0.09618842122474623,0.09391797258701165,0.0005244568338971422,-0.020000000000000018,0.5641748046875,0.5751879882812501,0.011013183593750031,2.3208740234375003,2.3759399414062505,2.372637093296036,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=0.0,eps=0.05",OK,"[0.41488, 0.139856, 0.142396, 0.151168, 0.151701]",0.24047105306186561,0.2347949314675292,0.0013111420847428629,-0.05000000000000002,0.5641748046875,0.57202392578125,0.007849121093750022,2.3208740234375003,2.3601196289062503,1.6909838738520768,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=0.0,eps=0.1",OK,"[0.62976, 0.079712, 0.084792, 0.102335, 0.103401]",0.4809421061237312,0.46958986293505833,0.0026222841694856897,-0.10000000000000005,0.5641748046875,0.56989990234375,0.005725097656249956,2.3208740234375003,2.34949951171875,1.2333925922808893,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=0.5,eps=0.01",OK,"[0.200496, 0.200457, 0.200111, 0.199825, 0.199111]",0.0011347951053275838,0.0011521685730466547,1.4108634385489824e-05,-0.0008913129357855758,0.5641748046875,0.563828125,-0.00034667968750001776,2.3208740234375003,2.319140625,-0.07468731262426352,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=0.5,eps=0.02",OK,"[0.200993, 0.200913, 0.200222, 0.199649, 0.198223]",0.0022695908569517332,0.0023043378093846206,2.8217276864856207e-05,-0.0017826262552892976,0.5641748046875,0.565029296875,0.0008544921875,2.3208740234375003,2.3251464843750003,0.1840884466090908,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=0.5,eps=0.05",OK,"[0.202482, 0.202283, 0.200556, 0.199123, 0.195556]",0.005673976812202601,0.0057608441755180005,7.054318771016254e-05,-0.004456565340760537,0.5641748046875,0.5646533203125,0.0004785156250000089,2.3208740234375003,2.3232666015625,0.1030895301010832,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=0.5,eps=0.1",OK,"[0.204964, 0.204566, 0.201112, 0.198246, 0.191113]",0.011347953924263103,0.011521688654405038,0.00014108637925758696,-0.008913131062446351,0.5641748046875,0.5668994140625,0.0027246093749999645,2.3208740234375003,2.3344970703125,0.5869791611878361,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=1.0,eps=0.01",OK,"[0.200248, 0.200229, 0.200059, 0.199916, 0.199548]",0.0005731390404917204,0.0005818122865421504,7.125185672306974e-06,-0.00045265636419565785,0.5641748046875,0.5648242187500001,0.0006494140625000755,2.3208740234375003,2.3241210937500005,0.13990721942292048,
