p_name,method,params,label,U_p_baseline,U_p_lambda,delta_u_p,ci_low,ci_high,excludes_zero,p_value,p_holm,holm_improves,holm_harms,significant,selection_regret,baseline_regret
dominant_complexity,Fair,"alpha=2.0,eps=0.05","Fair(alpha=2.0,eps=0.05)",0.5288772583007812,0.5288772583007812,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.01585998535156241,0.01585998535156241
dominant_complexity,Fair,"alpha=2.0,eps=0.1","Fair(alpha=2.0,eps=0.1)",0.5288772583007812,0.5288772583007812,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.01585998535156241,0.01585998535156241
dominant_verbosity,Avg,rho=0.5,Avg(rho=0.5),0.5688934326171875,0.5623092651367188,-0.00658416748046875,-0.015640296936035157,0.0024139404296875,False,0.1532,1.0,False,False,False,0.00751495361328125,0.0009307861328125
dominant_verbosity,MaxMin,c=0.0,MaxMin(c=0.0),0.5688934326171875,0.5631057739257812,-0.00578765869140625,-0.014559974670410156,0.0028581619262695286,False,0.1924,1.0,False,False,False,0.006718444824218794,0.0009307861328125
dominant_verbosity,MaxMin,c=0.25,MaxMin(c=0.25),0.5688934326171875,0.5636886596679688,-0.00520477294921875,-0.013821601867675781,0.0030933380126953068,False,0.2312,1.0,False,False,False,0.006135559082031228,0.0009307861328125
dominant_verbosity,MaxMin,c=0.5,MaxMin(c=0.5),0.5688934326171875,0.5628494262695313,-0.00604400634765625,-0.01353626251220703,0.0010398864746093638,False,0.095,1.0,False,False,False,0.006974792480468728,0.0009307861328125
dominant_verbosity,MaxMin,c=0.75,MaxMin(c=0.75),0.5688934326171875,0.5661376953125,-0.0027557373046875,-0.008963088989257812,0.003030624389648434,False,0.3676,1.0,False,False,False,0.003686523437499978,0.0009307861328125
dominant_verbosity,MaxMin,c=0.9,MaxMin(c=0.9),0.5688934326171875,0.5679412841796876,-0.0009521484375,-0.005643081665039062,0.0023529815673828114,False,0.7316,1.0,False,False,False,0.0018829345703124112,0.0009307861328125
dominant_verbosity,Fair,"alpha=0.0,eps=0.02","Fair(alpha=0.0,eps=0.02)",0.5688934326171875,0.5659698486328125,-0.002923583984375,-0.009961166381835937,0.0039947509765625,False,0.4074,1.0,False,False,False,0.003854370117187478,0.0009307861328125
dominant_verbosity,Fair,"alpha=0.0,eps=0.05","Fair(alpha=0.0,eps=0.05)",0.5688934326171875,0.566424560546875,-0.0024688720703125,-0.0113494873046875,0.006372146606445312,False,0.5712,1.0,False,False,False,0.0033996582031250444,0.0009307861328125
