p_name,p,method,params,status,lambda,dist_l2,dist_R,U_p(p),U_p(lambda),Delta U_p,note
dominant_coherence,"[0.125, 0.125, 0.5, 0.125, 0.125]",MaxMin,c=1.0,OK,"[0.125, 0.125, 0.5, 0.125, 0.125]",0.0,0.0,0.5940582275390626,0.5940582275390626,0.0,
dominant_coherence,"[0.125, 0.125, 0.5, 0.125, 0.125]",Fair,"alpha=0.0,eps=0.02",OK,"[0.2292, 0.1006, 0.4738, 0.0982, 0.0981]",0.11653812337110382,0.10400300251814025,0.5940582275390626,0.6014892578125001,0.0074310302734375,
dominant_coherence,"[0.125, 0.125, 0.5, 0.125, 0.125]",Fair,"alpha=0.0,eps=0.05",OK,"[0.3855, 0.0641, 0.4346, 0.0581, 0.0576]",0.2913453084277595,0.2600075062953506,0.5940582275390626,0.603118896484375,0.009060668945312433,
dominant_coherence,"[0.125, 0.125, 0.5, 0.125, 0.125]",Fair,"alpha=0.0,eps=0.1",OK,"[0.6271, 0.0033, 0.3696, 0.0, 0.0]",0.5614266204725972,0.5011477738875493,0.5940582275390626,0.6005752563476563,0.006517028808593728,
dominant_coherence,"[0.125, 0.125, 0.5, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.02",OK,"[0.1259, 0.1243, 0.4998, 0.1256, 0.1244]",0.0014442341890763208,0.0013015246563264477,0.5940582275390626,0.5940582275390626,0.0,
dominant_coherence,"[0.125, 0.125, 0.5, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.05",OK,"[0.1273, 0.1233, 0.4996, 0.1264, 0.1234]",0.00361058640356939,0.003253812483465866,0.5940582275390626,0.5940582275390626,0.0,
dominant_coherence,"[0.125, 0.125, 0.5, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.1",OK,"[0.1296, 0.1216, 0.4992, 0.1278, 0.1218]",0.0072211739861304585,0.006507626016468161,0.5940582275390626,0.5940582275390626,0.0,
dominant_coherence,"[0.125, 0.125, 0.5, 0.125, 0.125]",Fair,"alpha=2.0,eps=0.02",OK,"[0.1255, 0.1247, 0.4999, 0.1253, 0.1247]",0.0007207128770676781,0.0006495382275357053,0.5940582275390626,0.5940582275390626,0.0,
dominant_coherence,"[0.125, 0.125, 0.5, 0.125, 0.125]",Fair,"alpha=2.0,eps=0.05",OK,"[0.1262, 0.1241, 0.4998, 0.1257, 0.1242]",0.001801782273236637,0.0016238456417953264,0.5940582275390626,0.5940582275390626,0.0,
dominant_coherence,"[0.125, 0.125, 0.5, 0.125, 0.125]",Fair,"alpha=2.0,eps=0.1",OK,"[0.1273, 0.1233, 0.4996, 0.1264, 0.1234]",0.0036035644399898038,0.003247691161895665,0.5940582275390626,0.5940582275390626,0.0,
dominant_complexity,"[0.125, 0.125, 0.125, 0.5, 0.125]",Avg,rho=0.5,OK,"[0.0573, 0.0443, 0.0489, 0.8047, 0.0449]",0.3407914591009571,0.30531075813102704,0.5288772583007812,0.5246856689453125,-0.004191589355468706,
dominant_complexity,"[0.125, 0.125, 0.125, 0.5, 0.125]",Cert,,FLOOR_COLLAPSED,"[0.125, 0.125, 0.125, 0.5, 0.125]",0.0,0.0,0.5288772583007812,0.5288772583007812,0.0,"certificate: lambda = p, Delta = 0 by construction"
dominant_complexity,"[0.125, 0.125, 0.125, 0.5, 0.125]",MaxMin,c=0.0,OK_EXACT_D0,"[0.0728, 0.0558, 0.0653, 0.7444, 0.0617]",0.273573234837949,0.24517978062434542,0.5288772583007812,0.5227005004882812,-0.006176757812500044,
dominant_complexity,"[0.125, 0.125, 0.125, 0.5, 0.125]",MaxMin,c=0.25,OK,"[0.0772, 0.0819, 0.0777, 0.6851, 0.078]",0.20700010278051856,0.18531920485663467,0.5288772583007812,0.5250076293945313,-0.003869628906249978,
dominant_complexity,"[0.125, 0.125, 0.125, 0.5, 0.125]",MaxMin,c=0.5,OK,"[0.0932, 0.0964, 0.0936, 0.6229, 0.0938]",0.1374587025228044,0.12306147248226489,0.5288772583007812,0.5296157836914063,0.0007385253906250222,
