p_name,method,params,label,U_p_baseline,U_p_lambda,delta_u_p,ci_low,ci_high,excludes_zero,p_value,p_holm,holm_improves,holm_harms,significant,selection_regret,baseline_regret
dominant_correctness,Fair,"alpha=0.5,eps=0.1","Fair(alpha=0.5,eps=0.1)",0.5563232421875001,0.5556793212890626,-0.0006439208984375,-0.0080596923828125,0.006478958129882812,False,0.8624,1.0,False,False,False,0.011003112792968617,0.010359191894531161
dominant_correctness,Fair,"alpha=1.0,eps=0.01","Fair(alpha=1.0,eps=0.01)",0.5563232421875001,0.5563232421875001,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.010359191894531161,0.010359191894531161
dominant_correctness,Fair,"alpha=1.0,eps=0.02","Fair(alpha=1.0,eps=0.02)",0.5563232421875001,0.555706787109375,-0.000616455078125,-0.0031494140625,0.001300048828125,False,0.7842,1.0,False,False,False,0.010975646972656183,0.010359191894531161
dominant_correctness,Fair,"alpha=1.0,eps=0.05","Fair(alpha=1.0,eps=0.05)",0.5563232421875001,0.5551239013671875,-0.0011993408203125,-0.0038818359375,0.00086669921875,False,0.374,1.0,False,False,False,0.01155853271484375,0.010359191894531161
dominant_correctness,Fair,"alpha=1.0,eps=0.1","Fair(alpha=1.0,eps=0.1)",0.5563232421875001,0.5560256958007813,-0.00029754638671875,-0.006289749145507812,0.005511512756347655,False,0.911,1.0,False,False,False,0.010656738281249911,0.010359191894531161
dominant_correctness,Fair,"alpha=2.0,eps=0.01","Fair(alpha=2.0,eps=0.01)",0.5563232421875001,0.5563232421875001,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.010359191894531161,0.010359191894531161
dominant_correctness,Fair,"alpha=2.0,eps=0.02","Fair(alpha=2.0,eps=0.02)",0.5563232421875001,0.5563232421875001,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.010359191894531161,0.010359191894531161
dominant_correctness,Fair,"alpha=2.0,eps=0.05","Fair(alpha=2.0,eps=0.05)",0.5563232421875001,0.555706787109375,-0.000616455078125,-0.0031494140625,0.001300048828125,False,0.7842,1.0,False,False,False,0.010975646972656183,0.010359191894531161
dominant_correctness,Fair,"alpha=2.0,eps=0.1","Fair(alpha=2.0,eps=0.1)",0.5563232421875001,0.5551239013671875,-0.0011993408203125,-0.0038818359375,0.00086669921875,False,0.374,1.0,False,False,False,0.01155853271484375,0.010359191894531161
dominant_coherence,Avg,rho=0.0,Avg(rho=0.0),0.6026168823242187,0.5880615234375,-0.01455535888671875,-0.02530559539794922,-0.003682746887207042,True,0.0096,1.0,False,False,False,0.020144653320312567,0.005589294433593794
dominant_coherence,Avg,rho=0.1,Avg(rho=0.1),0.6026168823242187,0.5880615234375,-0.01455535888671875,-0.02530559539794922,-0.003682746887207042,True,0.0096,1.0,False,False,False,0.020144653320312567,0.005589294433593794
dominant_coherence,Avg,rho=0.2,Avg(rho=0.2),0.6026168823242187,0.5880615234375,-0.01455535888671875,-0.02530559539794922,-0.003682746887207042,True,0.0096,1.0,False,False,False,0.020144653320312567,0.005589294433593794
dominant_coherence,Avg,rho=0.5,Avg(rho=0.5),0.6026168823242187,0.5967929840087891,-0.005823898315429688,-0.017952356338500976,0.006552953720092772,False,0.35,1.0,False,False,False,0.011413192749023415,0.005589294433593794
