p_name,p,method,params,status,lambda,dist_l2,dist_R,proxy_delta_p,proxy_min_delta,U_p(p),U_p(lambda),Delta U_p,note
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=0.0,eps=0.05",OK,"[0.341668, 0.439611, 0.067417, 0.075658, 0.075646]",0.24244178118979157,0.23676273659290825,-0.017659829721810297,-0.05000000000000001,0.5563232421875001,0.55926513671875,0.0029418945312499334,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=0.0,eps=0.1",OK,"[0.558336, 0.379222, 0.009833, 0.026317, 0.026293]",0.48488356237958313,0.4735254731858165,-0.03531965944362062,-0.10000000000000002,0.5563232421875001,0.54488525390625,-0.011437988281250089,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=0.5,eps=0.01",OK,"[0.125678, 0.500451, 0.12507, 0.124756, 0.124044]",0.0012817846541956254,0.0012985546907274452,0.00019484285716332134,-0.0009594214453453867,0.5563232421875001,0.555706787109375,-0.0006164550781250222,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=0.5,eps=0.02",OK,"[0.126357, 0.500902, 0.125141, 0.124513, 0.123087]",0.002563569417225844,0.0025971094967206045,0.0003896857869504704,-0.001918842971402834,0.5563232421875001,0.5551239013671875,-0.0011993408203125888,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=0.5,eps=0.05",OK,"[0.128392, 0.502256, 0.125352, 0.123782, 0.120218]",0.006408922391353809,0.0064927725355071846,0.0009742144032650377,-0.004797106287277938,0.5563232421875001,0.5569931030273438,0.0006698608398437722,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=0.5,eps=0.1",OK,"[0.131784, 0.504512, 0.125705, 0.122564, 0.115435]",0.012817845263049384,0.012985545551518521,0.001948428963469064,-0.00959421301983084,0.5563232421875001,0.5556793212890626,-0.0006439208984374556,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.01",OK,"[0.125338, 0.500227, 0.12504, 0.124882, 0.124514]",0.0006461122206860011,0.0006545733028891244,9.808857612007363e-05,-0.0004875503307902535,0.5563232421875001,0.5563232421875001,0.0,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.02",OK,"[0.125675, 0.500454, 0.125079, 0.124764, 0.124028]",0.0012922244145556635,0.0013091465791832853,0.00019617712651307794,-0.0009751005916215982,0.5563232421875001,0.555706787109375,-0.0006164550781250222,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.05",OK,"[0.126688, 0.501136, 0.125198, 0.12441, 0.122569]",0.0032305606615621566,0.003272866047892177,0.0004904427461126663,-0.002437751412073685,0.5563232421875001,0.5551239013671875,-0.0011993408203125888,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.1",OK,"[0.128376, 0.502271, 0.125395, 0.12382, 0.120138]",0.0064611215433920165,0.006545732343146081,0.000980885450723127,-0.004875502700681905,0.5563232421875001,0.5560256958007813,-0.00029754638671875,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=2.0,eps=0.01",OK,"[0.125168, 0.500114, 0.125021, 0.124942, 0.124755]",0.0003243478212626757,0.00032859520646454457,4.9202305604787245e-05,-0.00024572103753891746,0.5563232421875001,0.5563232421875001,0.0,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=2.0,eps=0.02",OK,"[0.125337, 0.500228, 0.125042, 0.124884, 0.12451]",0.0006486956365489299,0.000657190403644661,9.840453232738802e-05,-0.0004914421421707908,0.5563232421875001,0.5563232421875001,0.0,
