p_name,method,params,predicted_delta_u_p,predicted_min_axis_delta,observed_delta_u_p
dominant_coherence,Fair,"alpha=0.5,eps=0.1",0.0005619717792311398,-0.00959421340165598,-0.0023559570312499806
dominant_coherence,Fair,"alpha=1.0,eps=0.01",2.9766428993199626e-05,-0.000487550278945718,6.103515624998612e-05
dominant_coherence,Fair,"alpha=1.0,eps=0.02",5.953293374056107e-05,-0.0009751006592481548,-0.0015441894531249903
dominant_coherence,Fair,"alpha=1.0,eps=0.05",0.00014883231628785683,-0.0024377513515968815,-0.0006011962890625291
dominant_coherence,Fair,"alpha=1.0,eps=0.1",0.0002976644781654891,-0.004875503024938071,-0.001983642578124993
dominant_coherence,Fair,"alpha=2.0,eps=0.01",1.5299687338650257e-05,-0.000245720989779691,-0.0002655029296874875
dominant_coherence,Fair,"alpha=2.0,eps=0.02",3.059943751284624e-05,-0.0004914420134968442,6.103515624998612e-05
dominant_coherence,Fair,"alpha=2.0,eps=0.05",7.649865349262152e-05,-0.0012286051700763669,-0.0015441894531249903
dominant_coherence,Fair,"alpha=2.0,eps=0.1",0.0001529973141909482,-0.0024572104851389876,-0.0006011962890625291
dominant_complexity,Avg,rho=0.0,0.18215902495427155,-0.13270204436092428,0.00895156860351562
dominant_complexity,Avg,rho=0.1,0.18215902495427166,-0.13270204436092445,0.00895156860351562
dominant_complexity,Avg,rho=0.2,0.18215902495427166,-0.13270204436092445,0.00895156860351562
dominant_complexity,Avg,rho=0.5,0.1083670066127346,-0.07533599186331619,0.011071777343749992
dominant_complexity,MaxMin,c=0.0,0.1061866449140253,-0.07637663683053714,0.012228393554687522
dominant_complexity,MaxMin,c=0.1,0.09627024757274673,-0.06557547975320555,0.014947509765624992
dominant_complexity,MaxMin,c=0.25,0.07990034840762143,-0.05442495279051627,0.01241149902343748
dominant_complexity,MaxMin,c=0.5,0.05319795258562251,-0.036236338335521784,0.010931396484375022
dominant_complexity,MaxMin,c=0.75,0.02658756759683081,-0.01811039801591359,0.014897155761718739
dominant_complexity,MaxMin,c=0.9,0.010633508245814256,-0.007243124664783177,0.011856079101562486
dominant_complexity,MaxMin,c=0.95,0.005316554362762941,-0.0036214262636930913,0.008374023437499989
dominant_complexity,Fair,"alpha=0.0,eps=0.01",-0.003531965944362054,-0.010000000000000004,0.007917785644531217
dominant_complexity,Fair,"alpha=0.0,eps=0.02",-0.007063931888724136,-0.020000000000000028,0.004113769531249992
dominant_complexity,Fair,"alpha=0.0,eps=0.05",-0.0176598297218103,-0.05000000000000001,0.004069519042968747
dominant_complexity,Fair,"alpha=0.0,eps=0.1",-0.03531965944362063,-0.10000000000000002,0.005802917480468725
dominant_complexity,Fair,"alpha=0.5,eps=0.01",-8.731548679021129e-05,-0.0009594211425735528,-0.0004455566406249972
dominant_complexity,Fair,"alpha=0.5,eps=0.02",-0.0001746309496353795,-0.001918842971402833,-0.0019927978515624917
dominant_complexity,Fair,"alpha=0.5,eps=0.05",-0.00043657740833621505,-0.004797106915159219,-9.1552734375e-05
dominant_complexity,Fair,"alpha=0.5,eps=0.1",-0.0008731541448329342,-0.00959421350982226,0.0023666381835937417
dominant_complexity,Fair,"alpha=1.0,eps=0.01",-4.228169770224355e-05,-0.00048755027894570524,-0.0004455566406249972
dominant_complexity,Fair,"alpha=1.0,eps=0.02",-8.456354123842536e-05,-0.0009751007332828099,-0.0004455566406249972
dominant_complexity,Fair,"alpha=1.0,eps=0.05",-0.0002114088696681597,-0.002437751505237145,-0.0003692626953124972
dominant_complexity,Fair,"alpha=1.0,eps=0.1",-0.00042281775157598496,-0.004875502719620283,-9.1552734375e-05
dominant_complexity,Fair,"alpha=2.0,eps=0.01",-2.0785932626504705e-05,-0.00024572102684575323,-0.0004455566406249972
dominant_complexity,Fair,"alpha=2.0,eps=0.02",-4.1571861558437086e-05,-0.0004914420741629395,-0.0004455566406249972
dominant_complexity,Fair,"alpha=2.0,eps=0.05",-0.00010392965278528588,-0.0012286051864413838,-0.0004455566406249972
dominant_complexity,Fair,"alpha=2.0,eps=0.1",-0.00020785930664126714,-0.0024572103763402272,-0.0003692626953124972
dominant_verbosity,Avg,rho=0.0,0.1809876036370579,-0.13869330166173824,-0.008650207519531224
dominant_verbosity,Avg,rho=0.1,0.18098760363705785,-0.1386933016617382,-0.008650207519531224
dominant_verbosity,Avg,rho=0.2,0.1809876036370579,-0.13869330166173824,-0.008650207519531224
dominant_verbosity,Avg,rho=0.5,0.10485273931814994,-0.08142381425615812,-0.0031372070312499847
dominant_verbosity,MaxMin,c=0.0,0.10489640097160398,-0.08555327442228815,-0.005723571777343728
dominant_verbosity,MaxMin,c=0.1,0.09691895563926271,-0.07032732157611439,-0.001600646972656182
dominant_verbosity,MaxMin,c=0.25,0.07943563706588219,-0.057640897548762754,-0.00655517578124995
dominant_verbosity,MaxMin,c=0.5,0.05271226486514522,-0.038249611520520865,-0.008998107910156192
dominant_verbosity,MaxMin,c=0.75,0.02631636397818483,-0.019095948568580608,-0.00017547607421870143
dominant_verbosity,MaxMin,c=0.9,0.010521272101731888,-0.007634552824138807,0.004145812988281275
dominant_verbosity,MaxMin,c=0.95,0.005259943157436489,-0.0038167736276686786,0.0006591796875000527
dominant_verbosity,Fair,"alpha=0.0,eps=0.01",-0.0035319659443620493,-0.010000000000000004,0.0025634765625000278
dominant_verbosity,Fair,"alpha=0.0,eps=0.02",-0.007063931888724126,-0.020000000000000007,0.0032501220703125278
dominant_verbosity,Fair,"alpha=0.0,eps=0.05",-0.017659829721810304,-0.05000000000000001,0.001551818847656261
dominant_verbosity,Fair,"alpha=0.0,eps=0.1",-0.03531965944362063,-0.10000000000000002,0.00469512939453131
dominant_verbosity,Fair,"alpha=0.5,eps=0.01",-0.00034869050887099777,-0.0009594213490816719,0.0010192871093750167
dominant_verbosity,Fair,"alpha=0.5,eps=0.02",-0.0006973810399113809,-0.0019188427580769704,0.0020385742187500333
dominant_verbosity,Fair,"alpha=0.5,eps=0.05",-0.001743452568384773,-0.0047971068106468315,0.004096984863281264
dominant_verbosity,Fair,"alpha=0.5,eps=0.1",-0.0034869049143899963,-0.009594213019830825,0.008592224121093783
dominant_verbosity,Fair,"alpha=1.0,eps=0.01",-0.00017723766141280087,-0.0004875503395610521,0.0009429931640625444
dominant_verbosity,Fair,"alpha=1.0,eps=0.02",-0.00035447526907033067,-0.0009751005417032932,0.0010192871093750167
dominant_verbosity,Fair,"alpha=1.0,eps=0.05",-0.0008861881767352671,-0.0024377513515968815,0.0035644531250000333
dominant_verbosity,Fair,"alpha=1.0,eps=0.1",-0.0017723765360264493,-0.004875503186314054,0.004096984863281264
dominant_verbosity,Fair,"alpha=2.0,eps=0.01",-8.933697425379966e-05,-0.0002457210489429522,0.00015563964843752498
dominant_verbosity,Fair,"alpha=2.0,eps=0.02",-0.00017867392503091072,-0.000491442032089672,0.0009429931640625444
